Address, Latitude, Longitude
"新竹市東區新竹市東大路一段2號", 24.8012033, 120.97813610000003
"新竹市東區篤行一路12號", 24.7735196, 121.02324569999996
"新竹市香山區牛埔路430號", 24.7977581, 120.94266399999992
"新竹市東區埔頂路99巷17弄13號2樓", 24.795874, 121.007431
"新竹市東區科學工業園區力行路2號3樓", 24.7750684, 121.0208596
"新竹市東區中正路65號", 24.8049094, 120.96959300000003
"新竹市香山區牛埔路428號", 24.7976451, 120.94260299999996
"新竹市東區新竹市民族路33號", 24.8049301, 120.97232259999998
"新竹市北區東大路二段17號", 24.8119556, 120.96820649999995
"新竹市東區仰德路11號", 24.8122907, 121.00297660000001
"新竹市東區新竹市科學園路171號", 24.7820058, 121.01188189999993
"新竹市北區建功二路63號", 24.7989552, 121.00333469999998
"新竹市東區大學路1001號", 24.7890674, 120.99926340000002
"新竹市香山區中華路五段522巷18號", 24.7732562, 120.91774540000006
"新竹市北區海濱路240號", 24.8348051, 120.91682600000001
"新竹市東區建功一路104巷22號", 24.8007091, 120.99918200000002
"新竹市東區力行路11號", 24.7687905, 121.02809049999996
"新竹市香山區新竹市香山區南隘路二段31號", 24.7262141, 120.92941969999993
"新竹市香山區新竹市香山區海埔路171巷91號", 24.8125553, 120.9221033
"新竹市香山區中華路5段648巷126號", 24.7658411, 120.91397649999999
